id_colaborador;nome_colaborador;departamento;motivo_ausencia;horas_ausencia;data_ausencia;salario
3595;Sarah Carvalho;TI;Doença;6;2023-06-18;14779.8
9957;Pedro Miguel Araújo;TI;Férias;8;2022-09-10;16090.13
9685;Isabelly Dias;Recursos Humanos;Férias;4;2022-07-15;15644.03
5172;Larissa Peixoto;Recursos Humanos;Problemas Pessoais;8;2022-06-23;14345.08
9989;Alícia da Cunha;Recursos Humanos;Problemas Pessoais;3;2023-10-09;9644.59
7620;Sra. Clara Viana;Recursos Humanos;Doença;2;2020-07-20;16579.55
4156;Luiz Felipe Barros;TI;Férias;4;2022-03-23;19457.48
1918;Fernanda Aragão;Recursos Humanos;Doença;6;2023-08-02;11690.47
7311;Isaac da Mata;Vendas;Viagem de Negocio;5;2023-10-17;9326.66
9548;Pedro Santos;Recursos Humanos;Outros;3;2020-12-30;11343.49
5673;Maria Fernanda Freitas;TI;Outros;8;2021-09-18;20068.69
1391;Alícia Porto;Marketing;Doença;6;2020-05-12;12878.14
4201;Evelyn Campos;TI;Problemas Pessoais;7;2023-09-28;8309.79
7958;Rafael Cunha;Marketing;Licença Médica;3;2021-04-02;20281.28
8776;Kamilly da Cruz;Vendas;Viagem de Negocio;5;2021-05-21;6171.25
3530;Lívia da Cunha;TI;Doença;5;2020-03-10;10761.39
2332;Joaquim Costela;Marketing;Outros;5;2022-03-18;9813.14
6180;Lorena Araújo;Recursos Humanos;Licença Médica;2;2020-05-25;13618.45
9152;Lucca Mendes;Vendas;Licença Médica;1;2022-01-18;7026.57
8278;Igor Moraes;TI;Doença;8;2021-11-17;13180.94
9560;Davi Luiz Martins;Recursos Humanos;Outros;4;2021-12-13;21539.0
4029;Dr. Renan Moreira;TI;Outros;7;2021-05-03;20224.9
4340;Isis Castro;Vendas;Outros;1;2023-08-20;12359.13
8516;Fernanda Nunes;Vendas;Férias;8;2020-04-07;20012.97
8734;Yago Cardoso;Recursos Humanos;Licença Médica;2;2021-06-19;3208.72
8275;Dr. Enzo Oliveira;Vendas;Problemas Pessoais;2;2023-01-16;19000.64
4995;Isadora Viana;Vendas;Doença;3;2021-04-12;3955.42
6942;João Felipe Santos;Marketing;Férias;2;2023-07-08;18605.75
8470;Lavínia Sales;Vendas;Outros;1;2023-03-31;21753.57
4293;Caio Martins;Marketing;Doença;6;2021-10-25;14431.07
4867;Sra. Nina da Conceição;Recursos Humanos;Férias;3;2023-11-26;13957.66
6866;Benício Araújo;Vendas;Problemas Pessoais;3;2022-11-12;10491.0
9326;Ian Caldeira;Vendas;Doença;5;2020-09-26;16005.66
9519;João Lucas Peixoto;Recursos Humanos;Licença Médica;6;2021-12-07;7948.37
1416;Benício da Rocha;Vendas;Problemas Pessoais;6;2022-02-04;7954.61
3514;Dr. Miguel das Neves;TI;Licença Médica;4;2022-09-25;16310.86
9865;Erick Novaes;Marketing;Férias;7;2020-03-28;20396.86
3280;Sr. Cauã Moraes;Vendas;Doença;8;2021-11-29;11935.97
5765;Marcos Vinicius Ramos;Vendas;Problemas Pessoais;5;2020-02-10;8127.57
6354;Beatriz Alves;Marketing;Outros;6;2023-02-28;21699.67
4046;Renan Nascimento;Vendas;Licença Médica;5;2021-04-23;9648.05
1961;Davi Luiz Lopes;TI;Doença;4;2022-10-18;11540.19
6672;Sr. Francisco da Rocha;Vendas;Férias;4;2021-06-28;18376.39
1541;Lucca Cardoso;Marketing;Férias;8;2022-02-03;20939.42
3693;Maria Clara Gomes;TI;Férias;4;2022-03-27;19834.07
8730;Amanda Nogueira;Vendas;Viagem de Negocio;8;2020-01-30;21677.54
5609;Yago das Neves;Recursos Humanos;Férias;3;2021-01-06;5713.61
6172;Luiza das Neves;Recursos Humanos;Doença;7;2020-10-27;4398.23
6710;Srta. Larissa Lima;Vendas;Outros;4;2021-12-11;20928.67
4490;Lucas Cardoso;TI;Licença Médica;8;2023-03-25;11658.09
