id_colaborador;nome_colaborador;departamento;motivo_ausencia;horas_ausencia;data_ausencia;salario
6934;Ana Clara Ferreira;TI;Outros;2;2023-02-15;3692.19
5078;Dr. Lucas Gabriel da Mata;TI;Outros;4;2020-12-05;20357.73
3079;Evelyn Ferreira;Recursos Humanos;Outros;7;2020-12-09;7708.03
9898;Ana Clara Moreira;Marketing;Outros;4;2023-03-26;18675.56
4310;Luiz Fernando Correia;Vendas;Outros;2;2022-06-30;3764.04
9006;Dr. Enrico da Mota;Marketing;Doença;2;2020-03-02;15550.96
9144;Maria Clara Caldeira;Vendas;Outros;6;2023-04-15;20535.08
5726;Stella Campos;Vendas;Problemas Pessoais;3;2020-04-23;3982.89
3396;Ana Sophia Melo;Marketing;Licença Médica;3;2023-08-18;13425.43
9568;Isabel Silva;TI;Férias;7;2023-09-03;5359.29
4522;Dr. Cauã Pinto;Vendas;Viagem de Negocio;7;2021-11-04;20720.32
7950;Dr. Levi Santos;TI;Outros;8;2022-10-16;11299.62
1193;Leandro Novaes;Marketing;Viagem de Negocio;7;2021-02-07;18711.27
9048;Enzo Rocha;Marketing;Viagem de Negocio;5;2020-01-08;18244.23
1742;Ryan da Paz;Marketing;Outros;3;2021-06-22;8595.31
8122;Davi Lucca Silva;Vendas;Problemas Pessoais;2;2021-10-09;13764.97
3231;Vitor Gabriel das Neves;Recursos Humanos;Doença;4;2022-11-12;10827.49
4997;Ana Beatriz Nascimento;Vendas;Doença;3;2020-04-20;17425.22
9567;Vitória Mendes;TI;Outros;8;2022-07-15;9219.89
2359;Luiz Henrique Fernandes;Vendas;Férias;3;2021-08-20;20514.66
4753;João Vitor Lima;TI;Férias;1;2020-04-11;15043.85
1206;Luiz Henrique Castro;TI;Doença;2;2021-01-27;14290.13
3475;Vinicius Sales;TI;Viagem de Negocio;2;2022-07-27;20891.66
3392;Kamilly Cardoso;Vendas;Outros;4;2020-08-28;21282.12
6450;Vitor Gabriel Lopes;Recursos Humanos;Licença Médica;5;2020-08-14;20480.22
4009;Vitor Hugo Peixoto;Vendas;Doença;8;2022-08-17;15770.14
1298;Ana Carolina Porto;Vendas;Problemas Pessoais;4;2021-08-14;21196.59
2136;Isabelly Gomes;Recursos Humanos;Licença Médica;2;2020-09-22;9118.93
1050;Felipe Campos;TI;Problemas Pessoais;6;2021-05-16;11379.52
4015;Evelyn da Costa;Recursos Humanos;Problemas Pessoais;8;2023-02-25;14890.28
1992;Cauã Costela;Marketing;Doença;6;2020-12-04;5804.09
9325;Sr. Benício Pires;TI;Férias;3;2022-08-04;8822.41
8427;Davi Lucas Gonçalves;Recursos Humanos;Problemas Pessoais;3;2020-11-11;18981.61
