id_colaborador;nome_colaborador;departamento;motivo_ausencia;horas_ausencia;data_ausencia;salario
3841;Alexia da Conceição;Marketing;Problemas Pessoais;6;2020-02-23;16130.76
5175;Mariane Ramos;Vendas;Licença Médica;2;2021-06-25;9472.43
8415;Bernardo Barros;TI;Férias;1;2023-09-16;14167.08
9297;João Lucas Nascimento;TI;Férias;1;2023-07-17;14525.65
4203;Srta. Mirella Novaes;Vendas;Viagem de Negocio;3;2021-11-09;12241.19
2575;Eduardo Viana;Marketing;Doença;5;2021-05-11;21631.23
6649;Joaquim Barbosa;Vendas;Viagem de Negocio;8;2021-12-24;11878.5
7643;Ian Azevedo;TI;Problemas Pessoais;7;2023-05-11;7499.08
9196;Daniel Costela;TI;Problemas Pessoais;4;2020-08-26;13202.75
3759;Camila Ribeiro;Vendas;Problemas Pessoais;8;2023-10-27;5600.85
8902;Mariana Fernandes;Vendas;Outros;4;2022-03-19;19383.98
4441;Dra. Eduarda Pereira;Marketing;Problemas Pessoais;4;2020-09-15;13067.98
7523;Vinicius Fernandes;Vendas;Viagem de Negocio;6;2022-03-29;8231.73
9107;Dra. Lara Rodrigues;TI;Doença;4;2021-03-07;11811.53
6127;Sr. Cauê Mendes;TI;Outros;3;2021-03-04;21608.04
5820;Sra. Maria Eduarda Araújo;Marketing;Problemas Pessoais;3;2023-04-17;3351.7
4515;Yasmin Alves;TI;Licença Médica;6;2023-04-13;14356.46
9340;Maria Vitória Moura;Recursos Humanos;Doença;1;2020-04-06;6502.66
6037;Maria Clara Rodrigues;Marketing;Problemas Pessoais;8;2023-01-01;13372.38
2116;Bianca da Rosa;TI;Férias;1;2022-12-02;3251.35
6024;Vitor Gabriel Pires;Vendas;Férias;3;2021-01-23;4017.43
4769;Srta. Lorena Vieira;Marketing;Outros;1;2022-10-31;10467.06
8515;Ana Clara Monteiro;Vendas;Problemas Pessoais;5;2022-04-04;8354.35
7340;Milena Rezende;TI;Problemas Pessoais;3;2021-12-08;13117.83
4035;Benício Correia;Vendas;Doença;8;2022-01-22;15950.9
7668;Dr. Pedro Lucas Silveira;Recursos Humanos;Viagem de Negocio;3;2020-11-15;7475.27
8404;Dr. Gustavo Henrique Silveira;TI;Licença Médica;5;2020-09-25;5939.32
6276;Elisa Rocha;Vendas;Viagem de Negocio;3;2023-02-25;18785.48
3995;Maria Cecília Ramos;TI;Licença Médica;3;2020-07-01;7910.43
1398;Matheus Martins;Vendas;Licença Médica;8;2023-01-01;14827.36
1617;Luiz Henrique da Rosa;Recursos Humanos;Problemas Pessoais;5;2023-01-02;18863.73
9148;Cecília Cardoso;Vendas;Licença Médica;4;2021-07-17;19567.02
8394;Joana Cardoso;Marketing;Doença;6;2022-07-05;6481.5
9208;Carolina da Cunha;Vendas;Doença;5;2022-12-29;17411.63
8799;Sra. Ana Clara Santos;Vendas;Viagem de Negocio;1;2022-01-20;11192.02
6047;Manuela Cavalcanti;TI;Doença;1;2021-07-07;9210.4
2468;Maria Clara Moura;Vendas;Doença;8;2021-12-10;18583.0
8085;Kevin Barros;Vendas;Férias;7;2021-03-20;20125.29
9308;Dr. Davi Lucca Sales;Recursos Humanos;Licença Médica;6;2020-01-01;18843.1
1973;Vinicius Ferreira;Vendas;Problemas Pessoais;2;2020-03-06;8974.3
4091;Ana Júlia Porto;Marketing;Licença Médica;7;2023-10-05;13543.94
7848;Isaac Barros;Recursos Humanos;Licença Médica;7;2023-01-07;8521.03
7866;Marcelo Gomes;Marketing;Férias;6;2022-01-30;14194.45
2414;Vicente da Cunha;Recursos Humanos;Férias;6;2023-06-25;5600.32
2046;André Cardoso;Vendas;Outros;7;2022-02-11;11093.61
2702;Sra. Alícia Nogueira;Marketing;Viagem de Negocio;7;2021-09-22;4471.47
7472;Dra. Bianca Vieira;TI;Doença;7;2021-05-23;5988.28
9769;Elisa Sales;Vendas;Problemas Pessoais;4;2023-05-26;9573.4
8219;Emanuella Fernandes;Marketing;Problemas Pessoais;2;2023-09-12;16718.04
3411;Luiz Felipe Fernandes;TI;Férias;7;2022-04-18;9228.02
4756;Eduarda Silva;Vendas;Viagem de Negocio;5;2023-06-11;8475.04
7993;Lara Pires;Marketing;Outros;5;2020-09-10;20986.29
1063;Alícia Ribeiro;Vendas;Licença Médica;4;2022-09-08;5231.14
1176;Lucas Gabriel da Cruz;Recursos Humanos;Licença Médica;5;2022-03-21;6402.35
7951;Samuel Farias;TI;Viagem de Negocio;8;2021-08-07;12530.79
3990;Dra. Fernanda Silva;Recursos Humanos;Viagem de Negocio;3;2021-09-18;9347.65
8297;Francisco Novaes;Recursos Humanos;Viagem de Negocio;5;2022-10-05;6773.89
3122;Ana Sophia Cardoso;TI;Férias;8;2021-02-17;12175.69
2395;Ana Luiza Porto;Recursos Humanos;Doença;4;2023-05-18;8843.38
5908;Melissa Porto;Marketing;Férias;5;2020-09-29;6185.96
3270;Ana Luiza Santos;TI;Viagem de Negocio;7;2021-09-02;12267.17
5443;Sr. Marcelo Sales;Recursos Humanos;Férias;3;2023-09-09;17969.85
9652;Danilo Souza;Vendas;Doença;7;2020-09-23;20352.3
1866;Emanuelly Santos;Recursos Humanos;Doença;1;2020-05-29;13287.16
3126;Beatriz Castro;Marketing;Férias;8;2022-04-28;14122.2
7496;Dr. Igor Teixeira;Recursos Humanos;Viagem de Negocio;3;2021-09-20;4861.16
2689;Heloísa Farias;Recursos Humanos;Férias;4;2020-01-05;20232.31
8720;Erick Cardoso;Recursos Humanos;Doença;7;2022-12-26;15247.8
2155;Dr. Luiz Otávio da Rocha;Vendas;Licença Médica;2;2023-05-24;15865.63
1253;Clara da Mata;TI;Viagem de Negocio;7;2021-09-13;11877.96
4956;André Barbosa;TI;Outros;1;2023-02-22;9905.96
7065;Mariane Silva;Marketing;Outros;6;2020-10-16;3285.9
2774;João Guilherme Ramos;TI;Viagem de Negocio;8;2022-01-12;21404.14
5963;Maria Cardoso;Vendas;Doença;4;2022-01-15;20309.78
8694;Sra. Joana Mendes;Vendas;Viagem de Negocio;4;2022-02-28;21371.82
2304;Caroline Monteiro;Vendas;Outros;4;2020-09-30;10926.61
3404;Ian Costa;Vendas;Problemas Pessoais;8;2023-09-28;17191.45
2906;Lorenzo Nogueira;Marketing;Problemas Pessoais;3;2023-04-30;7885.13
2747;Manuela das Neves;Vendas;Licença Médica;5;2022-03-25;5228.57
1681;Paulo Almeida;Marketing;Doença;8;2022-07-13;5121.55
2517;Caio da Cunha;Marketing;Férias;7;2020-02-29;10769.62
5379;Clarice Cardoso;Vendas;Outros;2;2022-07-17;14181.7
5465;Gustavo Mendes;TI;Doença;5;2020-09-25;19060.78
4340;Sarah Costa;Marketing;Problemas Pessoais;1;2021-11-30;16619.94
8788;Dr. Pedro Cunha;TI;Outros;5;2020-06-24;15938.13
8187;Daniel da Cunha;Vendas;Doença;1;2021-06-28;13405.42
9146;Letícia Jesus;Marketing;Licença Médica;2;2021-11-27;7206.59
3643;Davi Santos;Recursos Humanos;Viagem de Negocio;4;2021-10-03;16141.5
8537;Dr. Emanuel Castro;TI;Problemas Pessoais;7;2023-02-23;18358.85
2129;Raul Pereira;Marketing;Problemas Pessoais;3;2023-06-29;13796.25
5504;Gabriela Duarte;Recursos Humanos;Doença;2;2023-04-14;5594.05
2121;Ana Clara Gonçalves;TI;Viagem de Negocio;7;2022-10-19;4678.03
6934;Lara Moraes;TI;Doença;8;2023-03-07;21087.05
9737;Ana Beatriz Pinto;Marketing;Problemas Pessoais;5;2020-09-27;16048.34
9960;Alícia da Costa;Marketing;Outros;7;2020-06-01;18354.52
1886;Francisco Moreira;Marketing;Problemas Pessoais;8;2022-12-25;11174.23
1670;Stephany Martins;Recursos Humanos;Viagem de Negocio;3;2022-02-18;8443.33
9474;Nina Lima;TI;Licença Médica;6;2022-05-17;4231.12
6715;Isaac Azevedo;Vendas;Viagem de Negocio;3;2021-09-23;19928.7
1063;Dra. Isabella das Neves;TI;Licença Médica;3;2022-01-22;17166.29
8753;Luiz Fernando Cardoso;TI;Licença Médica;3;2020-12-17;17482.1
1604;Sra. Cecília da Mata;Marketing;Problemas Pessoais;2;2020-02-27;6904.85
5552;Maitê Caldeira;Marketing;Outros;1;2021-07-04;3521.11
8393;Sra. Sofia Caldeira;Marketing;Viagem de Negocio;2;2022-01-09;10279.79
5227;Alexandre da Cunha;Recursos Humanos;Licença Médica;2;2021-08-29;7156.67
6401;Eduardo Araújo;TI;Doença;1;2021-08-24;19981.22
6259;Sra. Lorena da Rosa;Marketing;Outros;6;2023-04-14;16663.51
2085;Clara Cavalcanti;Marketing;Problemas Pessoais;7;2022-09-20;10313.16
4043;Clarice das Neves;Marketing;Problemas Pessoais;3;2022-03-10;3192.42
8891;João Guilherme das Neves;TI;Doença;3;2020-09-03;15349.38
2727;Dra. Júlia Ramos;Marketing;Problemas Pessoais;5;2021-02-08;3310.02
4985;Davi Costela;Marketing;Outros;7;2022-01-30;10049.92
5246;Benício Fernandes;Recursos Humanos;Problemas Pessoais;7;2023-04-02;4568.8
7902;Dr. Vicente Fernandes;TI;Férias;4;2020-08-19;13558.59
4399;Gabrielly Moraes;Recursos Humanos;Férias;4;2020-12-12;3665.35
4739;Rafael Lima;Recursos Humanos;Viagem de Negocio;5;2021-02-14;8350.93
5571;Elisa Azevedo;Vendas;Outros;7;2020-12-13;7310.85
5902;João Pedro da Costa;Recursos Humanos;Outros;6;2021-11-04;8182.08
4385;Lucca Viana;Recursos Humanos;Licença Médica;4;2023-08-02;15022.51
4569;João Vitor Freitas;Marketing;Férias;4;2022-09-12;15444.83
4275;Sra. Giovanna Alves;Marketing;Licença Médica;7;2020-10-30;10776.28
6606;Marcela Cardoso;Vendas;Férias;2;2023-01-25;9872.77
1406;Pedro Lucas Fogaça;Marketing;Outros;4;2023-10-03;13666.61
3477;Srta. Ana Julia da Rocha;Recursos Humanos;Doença;2;2021-06-23;8740.65
4082;Alícia Rodrigues;Recursos Humanos;Problemas Pessoais;6;2023-01-21;13880.79
7691;Sr. Luiz Gustavo Campos;Recursos Humanos;Doença;5;2023-10-01;3079.67
1218;Marina da Rocha;TI;Licença Médica;8;2022-02-19;8414.08
